Index: 74, X: -0.0301909, Y: -1.04435, Z: 0.265632
Index: 262, X: -0.23373, Y: -1.03633, Z: 0.151645
Index: 141, X: 0.343023, Y: -0.986492, Z: -0.127368
Index: 315, X: -0.0791376, Y: -1.1101, Z: 0.162568
Index: 323, X: -0.206887, Y: -1.0861, Z: 0.20165
Index: 327, X: -0.152868, Y: -1.05641, Z: 0.265122
Index: 435, X: -0.169604, Y: -0.994548, Z: 0.166308
Index: 336, X: 0.0213802, Y: -1.0607, Z: -0.169459
Index: 322, X: 0.121387, Y: -1.0094, Z: 0.0488842
Index: 3, X: 0.343557, Y: -0.984669, Z: -0.258907
Index: 135, X: -0.0199135, Y: -1.19944, Z: 0.0745527
Index: 436, X: -0.0933999, Y: -0.864439, Z: 0.148067
Index: 4, X: -0.11186, Y: -1.25234, Z: -0.26218
Index: 119, X: 0.00301443, Y: -1.18689, Z: -0.261273
Index: 329, X: 0.0440907, Y: -0.900487, Z: 0.189916
Index: 113, X: 0.21387, Y: -1.0629, Z: 0.000594299
Index: 289, X: 0.270097, Y: -1.02854, Z: 0.0917276
Index: 304, X: 0.298037, Y: -0.910663, Z: 0.0408946
Index: 147, X: 0.026856, Y: -1.1732, Z: -0.11913
Index: 330, X: 0.0701061, Y: -1.14773, Z: -0.190178
Index: 437, X: -0.193963, Y: -0.928826, Z: -0.150387
Index: 438, X: -0.181635, Y: -0.863557, Z: 0.264165
Index: 91, X: -0.114139, Y: -1.25259, Z: 0.134387
Index: 440, X: 0.0818803, Y: -0.778173, Z: -0.110873
Index: 441, X: 0.161151, Y: -0.801409, Z: -0.256817
Index: 442, X: 0.220354, Y: -0.773331, Z: -0.146692
Index: 443, X: -0.263482, Y: -0.974105, Z: -0.263347
Index: 41, X: 0.0857829, Y: -1.13843, Z: 0.0134445
Index: 444, X: 0.0755024, Y: -0.746677, Z: 0.024903
Index: 445, X: 0.0133222, Y: -0.819289, Z: 0.262373
